Latitude,Longitude,Elevation,Name,Network
65.05194,-16.64806,0.955,ASK,Z7
65.20461,-16.86597,0.536,BRUN,Z7
65.07739,-16.93341,0.801,DDAL,Z7
65.02470,-17.09217,0.798,FJAS,Z7
65.18279,-16.49796,0.728,FLAT,Z7
64.84354,-17.02693,0.838,FLUR,Z7
65.19875,-16.21843,0.491,HELI,Z7
65.04748,-16.52985,0.718,HOTT,Z7
64.89633,-16.97921,0.849,HRIM,Z7
65.15577,-16.67551,0.697,HRUR,Z7
65.36317,-16.84383,0.517,KODA,Z7
65.29024,-16.56726,0.593,KOLL,Z7
64.85278,-16.45230,0.726,LIND,Z7
65.08676,-16.32961,0.572,MIDF,Z7
64.98440,-16.65119,0.702,MOFO,Z7
65.15550,-16.36895,0.639,MYVO,Z7
65.03933,-16.70164,1.209,OSKV,Z7
64.98513,-16.88639,1.022,RODG,Z7
65.11746,-16.57498,0.68,SVAD,Z7
64.91658,-16.78473,0.715,TOHR,Z7
65.10338,-16.11950,0.528,TOLI,Z7
65.03605,-16.31867,0.623,UTYR,Z7
65.38205,-16.37467,0.507,VEGG,Z7
