# Greenfield, T., White, R.S. and Roecker, S., 2016. The magmatic plumbing system of the Askja central volcano, Iceland, as imaged by seismic tomography. Journal of Geophysical Research: Solid Earth, 121(10), pp.7211-7229.
Depth,Vp,Vs
-2.000,3.180,1.850
-1.000,3.230,1.870
0.000,3.470,2.010
0.500,3.630,2.090
1.000,3.800,2.190
1.500,3.960,2.280
2.000,4.800,2.760
2.500,5.070,2.910
3.000,5.290,3.030
3.500,5.860,3.350
4.000,6.010,3.430
4.500,6.180,3.530
5.000,6.360,3.620
5.500,6.470,3.680
6.000,6.490,3.690
6.500,6.490,3.680
7.000,6.510,3.690
7.500,6.530,3.700
8.000,6.570,3.710
8.500,6.600,3.730
9.000,6.630,3.740
9.500,6.660,3.740
10.000,6.670,3.740
10.500,6.670,3.740
14.000,6.670,3.750
14.500,6.700,3.760
15.000,6.720,3.780
15.500,6.750,3.790
16.000,6.760,3.800
18.000,6.780,3.810
18.500,6.810,3.830
19.000,6.850,3.850
19.500,6.880,3.870
20.000,6.890,3.870
42.000,6.890,3.870
