Depth,Vp,Vs
-5.500,2.7079,1.56526
-2.500,2.7434,1.58578
-2.000,2.822,1.63121
-1.500,3.026,1.74913
-1.250,3.231,1.86763
-1.000,3.289,1.90116
-0.600,3.347,1.93468
-0.200,3.603,2.08266
0.050,3.859,2.23064
0.300,4.087,2.36243
1.150,4.315,2.49422
2.000,4.315,2.49422
3.000,4.316,2.4948
4.000,4.316,2.4948
5.000,4.317,2.49538
6.000,4.502,2.60231
7.000,4.687,2.70925
8.000,5.230,3.02312
9.000,5.773,3.33699
10.000,5.773,3.33699
11.000,5.774,3.33757
12.000,5.803,3.35434
13.000,5.832,3.3711
14.000,5.832,3.3711
15.000,5.833,3.37168
16.000,5.950,3.43931
18.000,6.067,3.50694
20.000,6.067,3.50694
22.500,6.068,3.50751
25.000,6.459,3.73353
27.500,6.850,3.95954
30.000,6.875,3.97399
35.000,6.900,3.98844
40.000,7.1642,4.14116
42.500,7.5095,4.34075
